year,WtdShrEmpCompPPE,RegFitted,LowessFitted
2015,.3917005,.3659333,.32420589
2015,.1781295,.2089306,.22178032
2015,.0305948,.1004732,.08524752
2015,.2718821,.277851,.27604248
2015,.1909881,.2183834,.22950644
2015,.1814445,.2113676,.22373186
2015,.0016146,.079169,.05096065
2015,.4638062,.4189404,.35981648
2015,.2467566,.2593805,.26616932
2015,.0385469,.1063191,.094957
2015,.2439883,.2573455,.26524435
2015,.1208226,.1668025,.1839501
2015,.0447604,.1108869,.10203329
2015,.2604082,.2694162,.27322887
2015,.3400587,.3279698,.30553052
2015,.0450354,.111089,.10229112
2015,.2621961,.2707306,.27514226
2015,.2222021,.2413297,.24874064
2015,.1154522,.1628546,.17757052
2015,.0631392,.1243977,.12260566
2015,.0713836,.1304584,.1318399
2015,.0090646,.0846457,.0589452
2015,.0988269,.1506328,.1615071
2015,.1646453,.199018,.21866449
2015,.0106636,.0858212,.0608736
2015,.0803697,.1370643,.14190844
2015,.1541705,.1913176,.21362056
2015,.0182387,.0913899,.06983581
2015,.2080808,.2309487,.24023368
2015,.023814,.0954885,.07682033
2015,.0000386,.0780104,.04859868
2015,0,.0779821,.04743566
2015,.2841223,.2868492,.28729327
2015,.1677122,.2012725,.21955815
2015,.0578663,.1205214,.11661252
2015,.1990368,.2243002,.23450347
2015,.2771482,.2817223,.27987074
2015,.2519289,.2631829,.26907522
2015,.1780259,.2088544,.223001
2015,.1640735,.1985976,.2179676
2015,.0537907,.1175253,.11194644
2015,.1180104,.1647352,.18079158
2015,.207753,.2307077,.23945582
2015,.3742707,.3531201,.31718325
2015,.0023362,.0796994,.05179361
2015,.0200946,.0927542,.07217986
2015,.1714885,.2040486,.22097709
2015,.1451796,.1847081,.2054407
2015,.1511797,.189119,.21180036
2015,.1439288,.1837886,.20478087
2015,.198909,.2242063,.23534953
2015,.5876319,.5099686,.50271865
2015,.0267044,.0976133,.08042485
2015,3.32e-06,.0779845,.04844533
2015,.1982152,.2236962,.23387121
2015,.2069834,.230142,.23914186
2015,.2808232,.2844239,.28449991
2015,.2398131,.2542762,.26005203
2015,.1521911,.1898625,.21189688
2015,.2784366,.2826695,.28124158
2015,.5585101,.4885602,.46815947
2015,.2099915,.2323534,.24179813
2015,0,.0779821,.04653865
2015,.390706,.3652022,.3237765
2015,.3071293,.3037624,.29523196
2015,.4586318,.4151365,.35484247
2015,.6365134,.5459028,.56499652
2015,.352438,.3370702,.30992362
2015,.2632654,.2715167,.27061096
2015,.0866361,.141671,.14866771
2015,.4494698,.4084013,.34698962
2015,.242966,.2565939,.26375612
2015,.7319735,.6160786,.69496935
2015,.0194182,.0922569,.0713007
2015,.181356,.2113025,.2237597
2015,.16829,.2016973,.21986292
2015,.2804673,.2841623,.28327509
2015,.0312796,.1009767,.08608556
2015,.0868116,.1417999,.14879186
2015,.6305286,.5415033,.55711293
2015,0,.0779821,.04585397
2015,.0199872,.0926753,.07203781
2015,.2486506,.2607729,.26737218
2015,.1621525,.1971854,.2213661
2015,.5819626,.505801,.49603884
2015,.1974208,.2231123,.23239288
2015,.5293817,.4671471,.4337998
2015,0,.0779821,.04542551
2015,.4840538,.4338251,.38105313
2015,.0895615,.1438215,.15183594
2015,.242876,.2565278,.26239238
2015,.3563484,.3399449,.31062721
2015,.0003973,.0782742,.04955893
2015,.0000483,.0780176,.04880367
2015,.0532135,.1171009,.11130291
2015,.0010406,.078747,.05029561
2015,.0960304,.148577,.15862866
2015,0,.0779821,.04531319
2015,.1434392,.1834287,.20438811
2015,.0066961,.0829046,.05675684
2015,.0689536,.128672,.12913861
2015,.3829789,.3595217,.32067974
2015,.0363879,.1047319,.09235855
2015,.0178044,.0910707,.06942251
2015,0,.0779821,.04526833
2015,.0050972,.0817292,.05490335
2015,0,.0779821,.04693795
2015,.1102331,.1590178,.17119744
2015,.139777,.1807365,.20338812
2015,.1635968,.1982472,.22292346
2015,.2152538,.2362218,.24518096
2015,.3361653,.3251077,.30405142
2015,.1899618,.2176289,.22853932
2015,.2242631,.2428449,.25122914
2015,.2756512,.2806219,.27812495
2015,.1990559,.2243143,.23398463
2015,.0517476,.1160233,.10967271
2015,.2420837,.2559453,.26112509
2015,0,.0779821,.04744449
2015,.0258592,.096992,.07937073
2015,.1048225,.1550404,.16838113
2015,0,.0779821,.04751181
2015,.0071607,.0832461,.05710304
2015,.0400486,.1074231,.09662641
2015,.4493011,.4082773,.34697167
2015,0,.0779821,.04768265
2015,.0174554,.0908141,.06899821
