"Chain-Type Price Indexes for Value Added by Industry"
"[2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: September 30, 2021"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Line","","","","","","","","","","","","","","","","","","","","",""
"33","            Plastics and rubber products",88.421,93.638,91.490,85.177,88.492,88.918,85.205,80.178,79.760,86.932,84.696,86.548,94.635,91.310,94.969,100.000,102.585,100.014,105.786,106.074
"34","    Wholesale trade",78.133,76.024,76.235,77.513,75.078,74.080,73.583,76.488,79.203,82.649,84.604,87.021,93.437,94.182,96.941,100.000,102.079,102.732,103.411,104.025
"35","    Retail trade",83.022,81.881,82.227,83.569,83.374,82.481,82.369,83.723,85.692,87.949,90.826,92.123,93.902,94.555,96.663,100.000,101.371,102.097,102.986,102.474
"36","        Motor vehicle and parts dealers",76.779,76.633,79.123,79.594,77.569,84.992,85.523,85.757,88.026,91.825,92.307,90.797,94.106,96.837,100.185,100.000,97.719,96.550,94.864,89.161
"37","        Food and beverage stores",57.170,58.219,59.607,61.006,64.789,66.468,69.373,72.927,78.481,80.906,83.350,88.846,91.998,88.389,93.733,100.000,102.278,106.121,113.772,119.357
"38","        General merchandise stores",97.812,96.974,95.211,94.262,93.670,86.037,81.666,80.655,80.535,80.667,82.510,85.251,82.700,90.576,90.638,100.000,99.738,99.040,97.247,97.731
"39","        Other retail",91.259,88.567,87.976,90.234,89.269,85.788,85.513,87.218,88.528,90.829,94.983,95.520,97.850,96.765,98.125,100.000,102.838,103.827,104.739,104.614
"40","    Transportation and warehousing",64.180,66.475,68.311,72.670,77.795,80.049,81.246,82.168,83.667,86.251,87.659,91.252,92.160,94.048,96.283,100.000,102.546,105.694,111.630,113.153
"41","        Air transportation",55.472,58.181,61.972,76.582,94.711,98.739,96.158,90.192,86.677,87.334,86.979,85.552,90.015,91.303,91.671,100.000,101.938,107.170,115.794,116.949
"42","        Rail transportation",56.447,59.260,57.637,56.111,57.920,59.764,59.395,60.642,66.703,74.097,76.547,86.128,85.367,88.078,94.696,100.000,104.873,108.091,108.092,106.368
"43","        Water transportation",107.349,116.436,146.071,164.621,176.822,206.031,241.580,220.485,187.099,166.956,145.966,139.819,105.579,120.801,109.493,100.000,99.154,107.351,126.395,125.146
"44","        Truck transportation",67.498,71.983,74.010,75.985,79.272,81.367,83.460,86.265,90.221,92.404,90.762,95.823,95.442,93.359,95.805,100.000,102.465,106.354,113.672,115.207
"45","        Transit and ground passenger transportation",57.765,59.918,58.656,58.750,61.034,63.173,67.205,70.754,73.289,77.164,76.967,80.765,90.341,94.443,98.695,100.000,103.993,104.101,108.720,112.102
"46","        Pipeline transportation",69.304,61.114,58.072,58.464,59.158,60.213,60.146,61.967,62.550,70.965,77.488,81.797,82.570,92.757,97.679,100.000,107.975,109.623,109.336,115.002
"47","        Other transportation and support activities",57.754,57.913,58.981,61.852,64.544,65.541,66.350,68.786,70.592,73.773,78.876,82.587,84.313,89.313,95.032,100.000,104.704,108.988,115.321,116.918
"48","        Warehousing and storage",92.054,93.310,95.768,97.369,99.300,100.643,101.801,101.884,101.152,101.013,108.143,112.308,114.207,110.044,104.468,100.000,94.957,91.688,94.239,95.354
"49","    Information",113.522,113.393,112.926,111.807,112.231,112.191,111.543,109.841,106.581,104.494,103.141,101.926,101.664,100.413,99.838,100.000,100.123,99.215,96.653,94.935
"50","        Publishing industries, except internet (includes software)",86.086,87.977,90.283,91.980,95.184,97.200,97.004,95.038,95.859,96.986,97.144,98.576,99.795,98.809,99.436,100.000,101.218,101.677,100.117,98.417
"51","        Motion picture and sound recording industries",116.862,116.309,117.983,119.449,121.828,120.898,117.044,117.925,113.341,107.749,106.326,105.030,97.999,98.694,97.864,100.000,98.189,97.167,95.845,99.034
"52","        Broadcasting and telecommunications",132.463,130.530,127.183,123.427,121.831,120.848,120.670,118.580,112.068,108.097,106.240,103.425,103.470,101.555,100.388,100.000,100.311,98.813,94.706,92.093
"53","        Data processing, internet publishing, and other information services",97.704,100.586,102.549,102.975,103.983,103.979,103.557,101.639,102.343,103.286,100.395,100.193,101.758,100.748,100.248,100.000,98.963,97.748,97.195,95.255
"54","    Finance, insurance, real estate, rental, and leasing",76.536,77.794,78.512,80.247,82.362,84.965,87.616,89.721,91.763,94.413,96.528,96.964,94.968,96.326,97.615,100.000,102.739,106.493,109.863,113.700
"55","        Finance and insurance",82.947,83.115,80.585,81.265,83.211,84.891,89.928,92.420,94.930,98.162,100.923,98.502,88.275,93.953,96.106,100.000,104.419,111.228,114.822,120.474
"56","            Federal Reserve banks, credit intermediation, and related activities",86.683,85.898,81.849,86.441,91.375,92.869,100.992,102.068,104.534,110.840,114.059,109.130,87.226,96.141,95.703,100.000,105.509,114.021,119.419,131.264
"57","            Securities, commodity contracts, and investments",92.810,91.215,84.699,74.113,71.611,72.646,73.078,79.035,83.579,86.305,94.373,92.202,77.748,84.037,94.041,100.000,109.154,123.692,127.234,126.939
"58","            Insurance carriers and related activities",78.498,79.689,79.840,80.527,82.166,84.278,87.965,90.570,92.122,92.845,92.958,91.870,94.889,96.779,98.521,100.000,101.211,103.140,104.368,105.236
"59","            Funds, trusts, and other financial vehicles",43.169,53.857,61.437,81.414,80.185,86.823,100.855,94.585,94.099,92.739,82.150,90.127,90.430,86.225,73.045,100.000,78.430,68.455,83.359,130.334
"60","        Real estate and rental and leasing",73.398,75.221,77.734,80.090,82.318,85.480,86.775,88.675,90.464,92.791,94.553,96.382,98.598,97.584,98.422,100.000,101.845,104.000,107.251,110.081
"61","            Real estate",73.025,75.468,77.983,80.115,82.734,86.131,87.432,89.255,91.017,93.402,95.093,96.744,98.638,97.624,98.404,100.000,101.942,104.341,108.109,111.464
"62","                Housing",67.225,69.556,71.704,73.996,76.963,80.140,82.126,84.173,86.356,89.423,92.702,94.958,97.174,96.898,98.064,100.000,102.234,105.111,108.595,112.315
"63","                Other real estate",107.916,110.861,116.007,116.424,115.805,120.452,117.105,117.406,116.511,114.548,106.932,105.448,105.576,100.764,99.797,100.000,100.842,101.510,106.339,108.307
"64","            Rental and leasing services and lessors of intangible assets",75.649,72.188,74.668,78.728,77.909,79.216,80.442,82.992,85.015,86.813,89.188,92.694,98.148,97.128,98.633,100.000,100.778,100.323,98.453,96.546
"65","    Professional and business services",67.227,69.872,72.814,76.204,77.363,78.757,79.997,83.955,86.676,90.119,93.997,95.752,97.357,97.735,98.768,100.000,101.379,101.757,103.882,104.927
"66","        Professional, scientific, and technical services",69.439,71.573,74.421,77.217,78.755,80.042,81.810,84.543,87.623,90.706,93.863,95.730,96.692,97.307,98.672,100.000,101.415,101.907,103.812,104.285
"67","            Legal services",48.473,51.082,52.653,54.635,57.881,61.174,65.276,70.612,77.283,80.471,84.748,87.578,88.086,91.891,96.218,100.000,104.480,108.863,113.075,115.907
"68","            Computer systems design and related services",132.767,128.857,130.624,132.982,131.682,126.199,118.790,112.275,109.359,108.432,107.117,107.348,106.137,101.954,101.525,100.000,99.064,97.730,96.352,94.755
"69","            Miscellaneous professional, scientific, and technical services",65.986,68.540,71.961,75.058,76.244,77.673,79.830,82.971,85.615,89.437,93.127,94.987,96.675,97.538,98.485,100.000,101.339,101.390,103.867,104.504
"70","        Management of companies and enterprises",48.957,53.034,56.431,61.663,60.031,61.084,62.648,72.750,76.725,82.914,92.550,93.920,97.282,98.385,98.995,100.000,100.822,98.362,100.179,99.774
"71","        Administrative and waste management services",75.001,77.559,80.254,83.515,86.010,87.924,87.515,89.740,90.716,93.187,95.172,96.886,99.056,98.396,98.867,100.000,101.650,103.636,106.525,110.056
"72","            Administrative and support services",75.948,78.832,81.579,84.853,87.117,88.924,88.128,90.485,91.625,94.252,96.111,97.702,99.644,98.625,98.938,100.000,101.555,103.378,106.272,109.666
"73","            Waste management and remediation services",66.567,66.563,68.817,71.930,76.307,79.071,81.801,82.870,82.341,83.299,86.582,89.541,93.912,96.321,98.161,100.000,102.622,106.316,109.150,114.167
"74","    Educational services, health care, and social assistance",64.386,66.841,68.694,70.451,74.088,76.674,78.831,80.874,83.068,85.179,88.813,90.971,94.110,96.273,97.838,100.000,101.539,102.783,104.279,106.667
"75","        Educational services",54.168,56.844,59.615,62.458,64.936,67.613,70.730,73.751,77.464,81.046,84.604,88.013,91.417,93.789,96.543,100.000,103.314,106.214,108.747,111.635
"76","        Health care and social assistance",66.203,68.615,70.301,71.858,75.705,78.273,80.260,82.128,84.055,85.914,89.563,91.507,94.600,96.725,98.073,100.000,101.226,102.185,103.505,105.809
"77","            Ambulatory health care services",72.434,74.649,76.212,77.050,80.335,81.524,82.950,84.295,85.740,86.479,90.617,92.041,95.155,97.440,98.563,100.000,100.390,100.881,100.449,101.363
"78","            Hospitals",63.498,65.739,66.981,68.129,72.694,76.395,79.018,81.304,83.253,86.063,88.972,91.173,93.914,95.975,97.371,100.000,101.998,103.427,106.312,109.719
"79","            Nursing and residential care facilities",55.190,58.326,60.716,64.071,68.796,72.504,75.118,77.807,80.674,83.005,87.264,90.416,94.823,96.712,98.359,100.000,100.923,101.526,104.440,108.621
