"Components of Value Added by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: December 22, 2021"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"140","        Gross operating surplus",134.7,152.1,152.4,152.9,159.0,167.7,180.0,180.8,194.6,198.7,182.1,169.5,187.2,194.9,190.4,205.4,218.8,215.8,230.0,242.7
"141","        Motor vehicle and parts dealers",118.5,123.7,135.4,138.6,132.6,147.0,149.8,152.7,158.1,160.5,162.8,144.4,125.3,141.3,148.9,161.2,172.4,181.3,192.5,201.7
"142","            Compensation of employees",65.1,69.6,74.0,77.8,81.6,84.9,88.0,90.0,93.2,94.8,96.3,90.1,78.0,81.5,87.1,92.4,98.0,103.4,110.2,114.7
"143","            Taxes on production and imports less subsidies",22.0,22.1,26.6,26.2,21.7,29.3,30.8,32.2,34.1,35.4,35.5,32.0,25.8,31.6,34.6,37.2,40.6,43.3,45.4,47.4
"144","            Gross operating surplus",31.4,32.0,34.8,34.6,29.3,32.9,31.0,30.4,30.8,30.3,31.0,22.3,21.4,28.1,27.2,31.6,33.8,34.5,37.0,39.6
"145","        Food and beverage stores",90.9,98.2,99.7,101.4,109.1,111.2,115.1,117.3,122.5,125.9,124.1,128.1,130.6,131.2,130.2,132.0,136.0,138.8,145.5,148.4
"146","            Compensation of employees",57.8,61.9,63.4,66.0,68.2,69.9,72.0,72.7,73.7,75.0,77.4,80.6,79.3,80.1,80.8,82.8,85.4,87.6,92.5,93.5
"147","            Taxes on production and imports less subsidies",11.8,12.0,12.0,12.0,14.1,13.0,14.0,15.1,16.6,18.0,18.9,19.4,19.5,20.2,20.7,21.3,22.2,23.2,23.6,24.3
"148","            Gross operating surplus",21.3,24.3,24.3,23.4,26.9,28.3,29.1,29.5,32.2,32.8,27.8,28.0,31.7,30.9,28.7,27.9,28.5,28.1,29.3,30.6
"149","        General merchandise stores",79.8,86.2,89.1,94.6,99.6,102.6,110.1,114.5,121.1,123.9,124.6,128.3,133.1,132.2,134.2,133.4,135.4,138.7,142.6,143.9
"150","            Compensation of employees",46.2,49.4,51.3,55.8,57.8,61.4,65.5,68.2,72.3,75.0,78.0,79.9,82.3,80.9,84.6,84.4,84.6,87.2,90.3,91.7
"151","            Taxes on production and imports less subsidies",22.6,24.2,25.2,26.6,28.9,27.7,29.5,31.4,33.8,35.9,36.6,37.3,36.9,37.5,37.4,37.5,38.8,39.8,39.8,40.1
"152","            Gross operating surplus",11.0,12.6,12.7,12.2,12.9,13.5,15.1,14.9,15.1,13.0,10.0,11.1,13.9,13.8,12.1,11.6,12.0,11.7,12.5,12.1
"153","        Other retail",290.7,318.8,328.7,350.8,368.1,371.8,394.6,410.9,438.9,459.6,457.9,448.0,438.4,447.4,459.8,483.3,506.8,516.3,539.7,559.0
"154","            Compensation of employees",169.9,181.8,192.0,206.1,209.1,212.3,219.4,228.4,238.6,247.3,254.7,250.3,234.7,236.4,243.1,250.5,258.6,267.3,280.6,287.7
"155","            Taxes on production and imports less subsidies",49.8,53.8,56.0,61.9,69.0,66.5,70.4,76.5,83.7,89.6,89.9,89.6,83.6,88.8,94.2,98.4,103.6,107.5,107.9,110.8
"156","            Gross operating surplus",71.0,83.2,80.7,82.7,90.0,93.0,104.7,106.0,116.5,122.7,113.3,108.1,120.1,122.2,122.4,134.4,144.6,141.5,151.3,160.5
"157","    Transportation and warehousing",257.3,280.0,290.1,307.8,308.0,305.6,321.4,352.0,375.6,410.3,414.0,427.0,404.4,433.5,452.5,473.3,492.1,522.5,566.1,582.4
"158","        Compensation of employees",166.9,180.7,191.7,204.3,208.0,206.3,209.7,222.0,231.6,241.0,255.9,255.6,241.1,245.5,259.9,274.8,283.4,296.8,320.0,332.5
"159","        Taxes on production and imports less subsidies",15.0,17.8,18.8,20.5,13.6,19.4,17.6,21.8,23.2,23.1,25.6,26.0,26.4,25.3,27.3,28.2,31.4,33.1,34.9,36.5
"160","        Gross operating surplus",75.3,81.5,79.7,83.0,86.5,80.0,94.2,108.1,120.9,146.1,132.5,145.4,136.9,162.7,165.3,170.3,177.4,192.6,211.2,213.4
"161","        Air transportation",54.7,55.2,57.7,58.1,49.2,52.0,54.6,60.8,61.7,68.0,73.2,68.7,71.6,84.3,84.8,88.1,94.2,103.0,117.7,129.2
"162","            Compensation of employees",29.8,33.3,37.0,39.6,41.8,40.8,38.9,38.4,36.5,36.9,39.9,38.4,35.2,36.8,39.2,40.6,43.1,44.4,48.4,53.4
"163","            Taxes on production and imports less subsidies",8.8,10.9,11.7,13.2,6.9,13.2,11.0,15.2,15.6,15.0,16.8,16.6,16.8,15.6,16.6,17.0,19.3,20.7,22.0,23.2
"164","            Gross operating surplus",16.1,10.9,9.0,5.3,0.5,-1.9,4.7,7.2,9.6,16.1,16.5,13.7,19.6,31.9,29.0,30.5,31.8,37.9,47.3,52.6
"165","        Rail transportation",20.0,22.2,22.6,23.3,23.3,21.7,23.4,25.2,28.0,32.1,32.4,37.3,32.9,33.8,36.6,39.7,41.0,43.9,44.3,40.1
"166","            Compensation of employees",15.3,16.4,17.0,16.7,16.4,16.1,16.4,17.0,17.9,18.7,19.3,20.4,18.8,18.5,20.6,22.3,21.6,23.2,24.2,21.9
"167","            Taxes on production and imports less subsidies",-0.4,-0.1,-0.2,-0.2,-0.1,-0.6,-0.5,-0.6,-0.7,-0.5,-0.3,-0.3,-0.7,-1.2,-0.5,0.0,0.1,0.2,0.2,0.2
"168","            Gross operating surplus",5.1,5.9,5.7,6.9,7.0,6.3,7.5,8.8,10.8,13.9,13.4,17.2,14.8,16.5,16.5,17.4,19.3,20.5,19.9,17.9
"169","        Water transportation",6.6,6.5,6.6,8.0,8.3,7.0,8.2,8.6,8.8,12.7,14.2,16.4,15.6,14.7,14.1,13.2,16.5,16.2,15.8,13.5
"170","            Compensation of employees",3.1,3.0,3.2,3.3,3.6,3.7,3.8,4.2,4.7,5.1,5.8,6.1,5.9,6.0,6.3,6.6,6.9,7.1,7.3,7.1
"171","            Taxes on production and imports less subsidies",0.6,0.7,0.8,0.8,0.4,0.2,0.3,-0.2,0.1,0.0,0.2,0.5,0.3,0.5,0.6,0.2,0.7,0.8,0.9,0.8
"172","            Gross operating surplus",2.8,2.7,2.6,4.0,4.3,3.2,4.1,4.7,4.0,7.6,8.3,9.9,9.4,8.1,7.2,6.4,8.9,8.3,7.6,5.6
"173","        Truck transportation",77.1,85.6,92.4,98.0,97.2,97.1,101.4,109.1,116.9,125.5,123.7,120.5,109.5,113.5,122.0,128.4,131.1,140.8,149.1,148.9
"174","            Compensation of employees",49.4,53.2,58.1,60.4,61.2,61.2,62.4,65.8,70.1,74.0,76.8,75.0,67.9,68.9,74.4,78.7,82.5,86.8,92.0,92.6
"175","            Taxes on production and imports less subsidies",2.1,2.1,2.2,2.3,2.2,2.4,2.4,2.7,3.2,3.5,3.5,3.5,3.6,3.7,3.8,4.0,4.1,4.0,4.1,4.3
"176","            Gross operating surplus",25.7,30.2,32.1,35.3,33.8,33.6,36.5,40.6,43.5,48.0,43.4,42.0,38.0,40.9,43.7,45.7,44.5,50.0,53.0,51.9
"177","        Transit and ground passenger transportation",15.1,16.2,17.7,18.5,19.0,19.5,21.4,23.0,23.5,25.9,26.3,28.1,29.4,31.4,34.2,36.5,38.0,40.6,42.2,42.7
"178","            Compensation of employees",8.5,9.2,10.2,10.5,10.8,11.1,11.5,12.2,12.7,13.6,14.3,14.9,15.0,15.4,16.4,17.1,17.7,18.6,19.8,20.8
"179","            Taxes on production and imports less subsidies",0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.5,1.6,1.5,1.6,1.7,1.6,1.7,1.8
"180","            Gross operating surplus",5.9,6.2,6.6,7.0,7.4,7.5,9.0,9.9,9.9,11.3,11.0,12.3,13.0,14.4,16.3,17.7,18.6,20.3,20.7,20.2
"181","        Pipeline transportation",7.0,9.8,10.4,9.4,16.1,10.0,10.3,10.6,9.8,10.7,13.0,16.3,14.6,20.2,21.6,25.3,27.0,30.2,36.8,39.2
"182","            Compensation of employees",3.5,3.6,3.8,4.9,4.9,3.8,3.7,3.7,3.8,4.2,4.7,4.8,4.9,5.3,5.7,6.8,6.2,6.6,7.1,7.2
"183","            Taxes on production and imports less subsidies",1.0,1.0,1.1,1.2,1.0,1.1,1.2,1.4,1.5,1.6,1.7,2.0,2.2,2.3,2.5,2.5,2.7,2.8,2.9,3.0
"184","            Gross operating surplus",2.5,5.2,5.5,3.3,10.2,5.2,5.4,5.5,4.6,4.9,6.5,9.5,7.5,12.6,13.4,16.0,18.1,20.8,26.8,28.9
"185","        Other transportation and support activities",55.9,59.8,58.1,65.8,69.1,71.7,73.3,80.9,88.8,94.6,89.9,94.4,85.6,90.5,94.0,94.9,97.1,100.0,108.1,110.9
"186","            Compensation of employees",40.0,43.5,44.9,49.0,49.2,49.1,51.1,55.2,58.0,60.0,63.8,64.2,61.0,61.9,64.1,67.2,69.0,72.0,77.8,80.9
"187","            Taxes on production and imports less subsidies",1.8,1.9,1.9,2.0,1.8,1.8,1.9,1.9,2.0,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2.1,2.2,2.2,2.4
"188","            Gross operating surplus",14.0,14.4,11.3,14.9,18.1,20.7,20.3,23.7,28.8,32.6,24.0,28.2,22.4,26.5,27.8,25.6,25.9,25.8,28.1,27.6
"189","        Warehousing and storage",21.0,24.8,24.6,26.7,25.8,26.6,28.7,33.6,38.1,40.8,41.3,45.3,45.1,45.2,45.2,47.2,47.3,47.8,51.9,58.0
"190","            Compensation of employees",17.3,18.4,17.4,20.0,20.2,20.6,21.9,25.5,27.9,28.6,31.3,32.0,32.4,32.7,33.2,35.6,36.4,38.1,43.3,48.6
"191","            Taxes on production and imports less subsidies",0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8
"192","            Gross operating surplus",3.3,6.0,6.8,6.3,5.2,5.6,6.5,7.7,9.7,11.7,9.4,12.6,12.1,11.8,11.4,11.0,10.2,9.0,7.9,8.6
"193","    Information",394.1,434.6,485.3,471.2,502.3,550.5,564.8,620.3,642.0,651.9,707.5,743.8,721.4,754.9,763.0,762.7,831.4,844.4,907.8,970.3
"194","        Compensation of employees",169.0,189.5,219.6,246.0,247.2,228.4,230.5,238.0,241.5,248.8,260.5,257.8,251.5,248.6,260.1,271.6,286.5,304.4,318.7,329.0
"195","        Taxes on production and imports less subsidies",31.0,33.0,36.1,38.9,43.3,44.1,44.8,46.5,48.4,48.6,48.0,44.6,43.9,44.3,45.1,45.3,46.8,48.9,55.2,56.1
"196","        Gross operating surplus",194.1,212.1,229.5,186.3,211.7,278.0,289.5,335.8,352.1,354.6,399.0,441.4,426.0,462.0,457.8,445.9,498.1,491.1,534.0,585.1
"197","        Publishing industries, except internet (includes software)",97.2,108.2,139.1,115.9,116.1,136.9,145.6,160.6,172.6,162.2,191.8,189.2,178.3,187.1,195.3,202.2,210.8,217.8,223.7,234.5
"198","            Compensation of employees",52.1,61.2,70.6,76.1,76.1,69.6,71.6,72.2,74.3,78.1,86.0,86.2,82.6,81.7,87.3,92.2,99.5,106.9,114.8,118.9
"199","            Taxes on production and imports less subsidies",1.5,1.6,1.8,1.9,2.6,2.7,2.9,3.0,3.2,3.3,3.5,3.5,3.7,3.7,3.7,3.7,3.7,5.3,5.4,5.7
"200","            Gross operating surplus",43.6,45.4,66.8,37.8,37.4,64.6,71.1,85.3,95.1,80.8,102.3,99.5,92.1,101.7,104.3,106.3,107.6,105.6,103.5,110.0
"201","        Motion picture and sound recording industries",40.3,48.9,60.3,54.1,65.3,71.7,68.5,74.5,63.0,67.5,76.5,79.8,82.2,91.3,85.1,82.8,83.0,82.3,87.6,93.8
"202","            Compensation of employees",18.8,19.2,19.4,20.4,22.4,21.7,22.3,24.2,24.4,25.0,26.4,27.2,26.8,27.9,29.1,30.3,29.7,32.3,34.2,35.7
"203","            Taxes on production and imports less subsidies",1.7,1.9,2.2,2.3,4.2,4.5,4.8,5.1,5.5,5.8,6.3,5.9,6.2,6.3,6.3,6.5,6.7,6.3,6.4,6.7
"204","            Gross operating surplus",19.8,27.8,38.7,31.5,38.6,45.4,41.5,45.2,33.1,36.7,43.9,46.7,49.1,57.0,49.7,46.0,46.6,43.7,47.0,51.5
"205","        Broadcasting and telecommunications",226.3,241.8,256.4,276.9,281.4,280.8,287.6,311.1,334.5,340.3,374.0,391.9,374.6,375.5,367.8,372.3,405.8,394.8,426.6,446.7
"206","            Compensation of employees",77.7,85.4,98.8,108.6,108.3,103.6,103.3,106.3,106.1,106.9,117.1,114.0,112.1,107.8,109.7,111.4,112.1,115.3,112.6,112.7
"207","            Taxes on production and imports less subsidies",27.2,28.7,31.2,33.6,35.0,35.4,35.5,36.7,38.0,37.5,36.2,33.2,32.0,32.1,32.5,32.5,33.5,33.9,39.5,39.4
"208","            Gross operating surplus",121.4,127.8,126.4,134.8,138.1,141.8,148.7,168.2,190.4,195.9,220.7,244.7,230.5,235.6,225.6,228.4,260.3,245.7,274.5,294.6
"209","        Data processing, internet publishing, and other information services",30.3,35.6,29.4,24.3,39.5,61.2,63.1,74.1,71.9,81.9,65.2,82.9,86.3,101.0,114.8,105.3,131.7,149.4,169.8,195.2
"210","            Compensation of employees",20.4,23.8,30.8,40.9,40.5,33.5,33.3,35.4,36.7,38.8,31.0,30.5,30.0,31.1,34.1,37.6,45.2,49.8,57.0,61.8
"211","            Taxes on production and imports less subsidies",0.7,0.8,1.0,1.2,1.5,1.5,1.6,1.7,1.8,1.9,2.1,1.9,2.0,2.2,2.5,2.6,3.0,3.5,3.9,4.3
"212","            Gross operating surplus",9.2,11.1,-2.3,-17.8,-2.4,26.2,28.2,37.1,33.5,41.2,32.1,50.4,54.3,67.7,78.2,65.1,83.5,96.1,109.0,129.1
"213","    Finance, insurance, real estate, rental, and leasing",1612.4,1710.1,1835.4,1974.7,2129.4,2210.0,2294.2,2392.8,2611.4,2745.2,2865.6,2816.1,2903.1,2990.4,3080.8,3289.2,3362.0,3560.7,3713.8,3883.2
"214","        Compensation of employees",376.3,418.1,448.6,490.9,526.6,529.4,547.3,592.8,636.2,687.2,729.6,722.5,651.6,677.1,712.9,744.3,760.2,807.5,852.4,874.8
"215","        Taxes on production and imports less subsidies",144.5,147.9,154.4,161.3,168.5,182.4,192.6,206.2,218.9,237.0,249.4,259.7,270.0,270.9,274.7,277.7,287.1,308.0,321.8,335.9
"216","        Gross operating surplus",1091.5,1144.2,1232.4,1322.5,1434.3,1498.2,1554.3,1593.9,1756.3,1820.9,1886.6,1834.0,1981.5,2042.4,2093.2,2267.2,2314.6,2445.3,2539.5,2672.6
"217","        Finance and insurance",577.2,637.9,674.4,744.4,800.3,811.1,846.2,877.2,981.5,1050.3,1041.6,887.3,981.0,1006.2,1033.5,1172.4,1156.5,1296.0,1384.5,1475.0
"218","            Compensation of employees",314.9,350.4,375.5,411.9,445.3,443.3,459.8,497.7,534.6,579.2,617.4,612.1,548.0,573.3,606.5,630.1,641.3,681.1,715.7,734.1
"219","            Taxes on production and imports less subsidies",27.0,27.8,29.3,30.2,28.5,30.6,32.6,36.1,38.6,40.1,42.2,43.5,43.6,43.9,45.0,45.2,47.9,57.5,63.4,66.4
"220","            Gross operating surplus",235.3,259.7,269.5,302.3,326.6,337.1,353.8,343.4,408.3,431.0,381.9,231.6,389.4,389.0,382.0,497.2,467.2,557.3,605.4,674.5
"221","            Federal Reserve banks, credit intermediation, and related activities",233.1,267.0,302.5,321.3,335.4,380.2,398.7,374.4,414.1,429.5,406.8,415.4,409.0,419.5,461.5,519.7,508.3,559.9,581.6,617.2
"222","                Compensation of employees",109.8,123.4,130.4,134.5,150.9,161.2,176.1,184.0,196.6,207.7,210.0,200.0,185.0,187.7,198.7,211.1,219.0,222.6,236.5,248.1
"223","                Taxes on production and imports less subsidies",7.9,8.7,9.3,9.9,9.5,10.3,11.0,12.2,13.2,13.9,14.8,15.0,15.7,15.4,15.6,15.6,16.3,16.2,17.3,18.4
"224","                Gross operating surplus",115.4,134.9,162.7,176.9,175.0,208.7,211.7,178.2,204.3,207.9,182.0,200.5,208.3,216.4,247.2,292.9,273.0,321.1,327.8,350.7
"225","            Securities, commodity contracts, and investments",121.3,121.1,120.5,133.4,187.7,162.6,146.6,159.7,195.7,227.1,206.3,99.9,190.4,196.7,173.4,232.8,249.5,228.1,231.0,267.4
"226","                Compensation of employees",91.7,104.1,116.7,142.8,150.4,134.1,128.1,148.0,163.5,186.6,216.5,216.9,174.6,191.9,202.6,203.3,202.6,223.6,227.4,228.6
"227","                Taxes on production and imports less subsidies",3.3,3.8,4.1,4.4,4.0,4.0,3.9,4.1,4.6,4.5,5.1,5.5,5.0,5.3,5.1,4.8,4.9,5.0,5.0,5.3
"228","                Gross operating surplus",26.3,13.2,-0.2,-13.8,33.4,24.5,14.6,7.6,27.6,35.9,-15.3,-122.5,10.8,-0.5,-34.2,24.7,42.0,-0.6,-1.5,33.5
"229","            Insurance carriers and related activities",215.6,236.7,234.4,274.4,262.0,251.2,280.7,322.2,348.3,372.5,406.0,349.4,365.7,373.4,385.4,406.9,386.1,487.4,554.6,571.6
"230","                Compensation of employees",112.5,121.9,127.4,133.5,142.8,146.8,154.3,164.2,172.8,183.1,190.2,194.6,187.8,193.2,204.6,215.1,219.2,234.0,250.7,255.8
"231","                Taxes on production and imports less subsidies",14.2,13.7,14.1,13.9,14.1,15.4,17.0,19.3,20.2,20.9,21.5,22.1,22.0,22.4,23.5,23.9,25.9,35.6,40.3,41.9
"232","                Gross operating surplus",88.9,101.1,93.0,127.0,105.0,88.9,109.4,138.8,155.3,168.6,194.4,132.7,156.0,157.9,157.3,167.9,141.0,217.7,263.6,273.9
"233","            Funds, trusts, and other financial vehicles",7.2,13.1,17.0,15.2,15.2,17.0,20.2,21.0,23.4,21.2,22.5,22.5,15.9,16.6,13.1,13.0,12.6,20.6,17.4,18.7
"234","                Compensation of employees",0.8,0.9,1.0,1.1,1.2,1.2,1.3,1.5,1.7,1.8,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.9,1.1,1.6
"235","                Taxes on production and imports less subsidies",1.5,1.7,1.8,2.0,0.8,0.9,0.7,0.6,0.7,0.8,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.8
"236","                Gross operating surplus",4.8,10.5,14.1,12.2,13.2,15.0,18.2,18.9,21.1,18.6,20.9,20.9,14.4,15.2,11.7,11.7,11.2,19.0,15.5,16.4
"237","        Real estate and rental and leasing",1035.2,1072.2,1161.1,1230.3,1329.1,1398.9,1448.0,1515.6,1629.9,1694.9,1824.0,1928.9,1922.2,1984.2,2047.3,2116.8,2205.5,2264.7,2329.3,2408.3
"238","            Compensation of employees",61.4,67.7,73.1,79.0,81.3,86.1,87.5,95.1,101.6,108.0,112.2,110.3,103.7,103.8,106.4,114.3,118.9,126.4,136.7,140.7
"239","            Taxes on production and imports less subsidies",117.5,120.0,125.1,131.1,140.0,151.8,160.0,170.0,180.3,197.0,207.2,216.2,226.4,227.0,229.7,232.5,239.2,250.4,258.5,269.5
"240","            Gross operating surplus",856.2,884.4,962.9,1020.2,1107.8,1161.0,1200.5,1250.5,1348.0,1389.9,1504.7,1602.4,1592.1,1653.4,1711.1,1770.0,1847.4,1887.9,1934.1,1998.1
"241","            Real estate",929.2,959.2,1033.8,1094.5,1180.7,1252.5,1305.5,1376.9,1486.7,1526.9,1659.8,1750.2,1759.3,1823.9,1883.9,1943.0,2022.4,2073.9,2123.1,2187.6
"242","                Compensation of employees",42.3,46.8,50.7,54.6,56.7,61.1,62.7,68.8,74.1,79.1,81.7,80.2,75.8,76.3,77.9,83.7,87.9,93.3,102.2,106.0
"243","                Taxes on production and imports less subsidies",110.2,111.9,115.9,120.9,129.8,141.5,149.2,158.8,167.9,183.2,192.6,201.6,212.5,212.7,214.6,216.1,222.0,232.0,239.7,249.8
"244","                Gross operating surplus",776.7,800.4,867.2,919.0,994.2,1049.9,1093.6,1149.3,1244.7,1264.6,1385.6,1468.5,1471.0,1534.8,1591.4,1643.2,1712.5,1748.6,1781.2,1831.8
"245","                Housing",769.8,812.3,865.5,920.6,990.1,1030.4,1065.2,1132.0,1210.7,1277.5,1346.9,1450.5,1468.7,1495.9,1523.9,1546.2,1590.1,1636.6,1686.7,1745.9
"246","                    Compensation of employees",8.8,9.4,9.9,10.8,11.1,11.9,11.9,12.4,12.8,13.2,14.0,14.3,14.2,14.1,14.8,15.5,15.6,16.5,17.5,18.0
"247","                    Taxes on production and imports less subsidies",100.7,102.9,107.5,112.3,118.6,127.5,134.8,142.7,152.0,164.8,172.3,181.3,191.4,192.0,193.7,195.2,200.6,209.6,216.4,224.5
"248","                    Gross operating surplus",660.3,700.0,748.1,797.6,860.3,890.9,918.5,976.8,1045.9,1099.5,1160.6,1255.0,1263.2,1289.8,1315.4,1335.5,1373.8,1410.5,1452.8,1503.4
"249","                Other real estate",159.4,146.9,168.3,173.9,190.7,222.1,240.4,244.9,276.0,249.4,312.9,299.7,290.5,328.0,360.0,396.9,432.3,437.3,436.4,441.7
"250","                    Compensation of employees",33.5,37.4,40.8,43.9,45.6,49.1,50.8,56.3,61.3,65.9,67.7,65.9,61.6,62.2,63.1,68.3,72.3,76.8,84.7,88.0
"251","                    Taxes on production and imports less subsidies",9.5,9.0,8.4,8.6,11.2,14.1,14.5,16.0,15.9,18.4,20.2,20.3,21.2,20.8,20.9,20.9,21.4,22.4,23.3,25.3
"252","                    Gross operating surplus",116.4,100.5,119.2,121.4,133.9,159.0,175.1,172.5,198.8,165.1,225.0,213.5,207.8,245.0,276.0,307.7,338.6,338.1,328.4,328.4
"253","            Rental and leasing services and lessors of intangible assets",106.0,113.0,127.3,135.8,148.3,146.4,142.5,138.7,143.2,168.0,164.3,178.6,162.9,160.3,163.3,173.8,183.1,190.9,206.2,220.6
"254","                Compensation of employees",19.1,20.9,22.4,24.3,24.6,25.1,24.8,26.4,27.5,29.0,30.5,30.2,27.9,27.4,28.5,30.5,31.0,33.1,34.5,34.6
"255","                Taxes on production and imports less subsidies",7.3,8.1,9.2,10.3,10.1,10.2,10.7,11.2,12.4,13.7,14.6,14.6,13.9,14.3,15.2,16.4,17.2,18.4,18.8,19.7
"256","                Gross operating surplus",79.5,84.0,95.6,101.2,113.6,111.1,106.9,101.1,103.3,125.3,119.1,133.9,121.2,118.6,119.7,126.8,134.9,139.4,152.9,166.3
"257","    Professional and business services",840.6,914.0,997.4,1104.9,1155.3,1189.8,1247.4,1340.9,1446.0,1546.5,1667.3,1777.9,1688.1,1768.5,1860.0,1968.9,2020.1,2120.2,2237.7,2306.2
"258","        Compensation of employees",591.8,663.4,722.7,829.0,851.6,847.4,873.3,935.4,1013.7,1100.6,1185.0,1228.7,1166.6,1216.4,1286.9,1377.3,1430.2,1513.1,1609.9,1653.5
"259","        Taxes on production and imports less subsidies",20.9,23.6,26.0,27.1,27.3,30.2,37.0,43.9,52.7,52.7,52.0,48.7,40.1,41.7,43.6,46.4,50.5,53.2,55.7,58.5
"260","        Gross operating surplus",227.9,227.0,248.8,248.9,276.4,312.2,337.1,361.6,379.6,393.2,430.2,500.5,481.4,510.4,529.5,545.1,539.5,553.9,572.1,594.1
"261","        Professional, scientific, and technical services",499.7,543.1,596.1,651.7,686.7,714.7,741.3,792.3,852.1,917.0,985.4,1082.8,1030.9,1065.1,1127.2,1191.8,1210.7,1269.0,1349.2,1395.5
"262","            Compensation of employees",326.9,367.1,404.2,462.6,477.3,469.2,478.0,506.7,553.6,607.4,655.0,693.5,669.4,682.7,727.1,776.7,801.5,848.9,909.4,939.1
"263","            Taxes on production and imports less subsidies",10.3,12.2,13.6,14.5,15.6,17.9,24.4,29.9,37.6,36.8,35.0,30.1,22.5,23.6,25.1,27.2,30.7,32.9,35.0,36.9
"264","            Gross operating surplus",162.5,163.8,178.3,174.6,193.8,227.6,238.9,255.8,260.9,272.8,295.3,359.2,338.9,358.8,375.0,387.9,378.5,387.2,404.8,419.5
"265","            Legal services",104.0,113.7,120.8,129.1,140.6,149.2,165.3,180.8,195.1,204.6,217.6,240.8,212.1,204.7,216.1,217.5,219.4,225.8,238.8,252.1
"266","                Compensation of employees",60.5,65.6,68.8,75.1,81.0,85.2,89.9,94.0,98.6,104.0,110.0,113.3,109.8,108.6,112.4,115.5,117.2,119.0,122.9,126.1
"267","                Taxes on production and imports less subsidies",3.6,4.7,5.1,5.1,5.7,8.0,14.3,19.0,25.9,24.3,21.4,15.9,8.2,8.6,9.5,10.8,13.3,14.3,15.9,16.7
"268","                Gross operating surplus",39.9,43.5,46.9,48.9,53.9,56.0,61.1,67.9,70.6,76.3,86.2,111.7,94.1,87.6,94.3,91.2,88.9,92.6,100.0,109.4
"269","            Computer systems design and related services",75.5,89.0,103.0,114.1,118.2,110.2,115.8,122.9,134.9,149.0,167.1,181.4,188.9,202.9,224.8,252.7,255.2,266.1,284.9,304.9
"270","                Compensation of employees",64.1,78.4,93.5,114.0,112.0,99.2,97.6,104.3,114.5,127.4,140.6,149.6,147.4,156.5,172.2,192.6,197.4,213.7,234.6,246.3
"271","                Taxes on production and imports less subsidies",1.8,2.2,2.7,3.2,3.0,2.7,2.6,2.8,2.9,3.2,3.5,3.7,3.7,4.0,4.3,4.7,5.1,5.7,5.9,6.3
"272","                Gross operating surplus",9.5,8.5,6.8,-3.1,3.1,8.3,15.5,15.9,17.5,18.3,23.0,28.0,37.8,42.5,48.3,55.5,52.8,46.8,44.3,52.3
"273","            Miscellaneous professional, scientific, and technical services",320.2,340.4,372.4,408.5,427.9,455.3,460.3,488.6,522.1,563.5,600.7,660.6,629.9,657.5,686.2,721.6,736.1,777.1,825.6,838.5
"274","                Compensation of employees",202.3,223.2,241.9,273.5,284.2,284.8,290.5,308.4,340.5,376.0,404.4,430.6,412.2,417.7,442.5,468.6,486.9,516.3,551.9,566.7
"275","                Taxes on production and imports less subsidies",4.9,5.4,5.9,6.2,6.9,7.2,7.5,8.2,8.9,9.3,10.1,10.5,10.7,11.1,11.3,11.7,12.3,12.9,13.2,14.0
"276","                Gross operating surplus",113.1,111.8,124.6,128.8,136.8,163.2,162.3,172.1,172.8,178.2,186.1,219.5,207.0,228.7,232.4,241.3,236.9,247.8,260.5,257.8
"277","        Management of companies and enterprises",125.5,139.1,148.5,171.1,173.6,175.0,185.6,203.1,214.1,230.4,251.1,256.4,245.0,265.3,277.9,302.1,319.6,332.8,347.9,350.9
"278","            Compensation of employees",105.9,118.5,126.3,147.6,150.3,150.5,159.7,175.6,185.3,200.7,219.9,221.1,207.9,227.2,237.9,259.4,275.0,287.4,302.3,304.6
"279","            Taxes on production and imports less subsidies",5.0,5.4,5.8,5.9,5.2,5.5,5.7,6.4,6.9,7.3,7.7,9.2,8.3,8.2,8.2,8.4,8.4,8.3,8.4,8.8
"280","            Gross operating surplus",14.5,15.2,16.4,17.6,18.1,19.0,20.2,21.1,21.9,22.4,23.5,26.1,28.7,29.9,31.8,34.4,36.2,37.1,37.1,37.6
"281","        Administrative and waste management services",215.4,231.8,252.8,282.1,295.0,300.2,320.5,345.5,379.8,399.1,430.8,438.8,412.3,438.0,455.0,474.9,489.8,518.4,540.6,559.7
"282","            Compensation of employees",159.0,177.8,192.2,218.8,224.0,227.8,235.5,253.1,274.8,292.4,310.1,314.1,289.2,306.5,321.9,341.3,353.7,376.7,398.1,409.9
"283","            Taxes on production and imports less subsidies",5.6,6.0,6.5,6.7,6.5,6.7,6.9,7.6,8.2,8.7,9.3,9.5,9.3,9.8,10.4,10.8,11.4,12.0,12.3,12.9
