"Components of Value Added by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: December 22, 2021"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"31","            Taxes on production and imports less subsidies",3.0,3.0,3.0,3.2,3.1,2.8,3.1,3.3,3.9,4.2,4.5,4.9,4.3,5.0,6.0,5.9,6.3,6.1,4.9,4.6
"32","            Gross operating surplus",9.6,12.0,12.7,12.2,11.7,12.1,13.6,16.8,24.6,31.9,37.2,38.9,41.2,47.9,52.6,42.1,37.5,34.3,27.0,26.4
"33","        Support activities for mining",13.5,13.6,11.1,13.8,19.7,15.2,16.9,19.9,26.8,42.6,50.1,59.4,41.3,47.6,62.0,68.6,69.4,79.5,53.6,32.1
"34","            Compensation of employees",9.0,9.5,8.8,9.5,11.3,10.2,10.9,12.5,15.6,20.3,23.9,28.0,22.8,24.8,31.4,36.6,38.5,43.4,35.0,24.4
"35","            Taxes on production and imports less subsidies",0.7,0.7,0.7,0.8,0.7,0.7,0.8,0.8,1.0,1.2,1.4,1.6,1.6,1.7,1.9,2.3,2.2,2.5,2.4,2.3
"36","            Gross operating surplus",3.8,3.5,1.6,3.5,7.8,4.3,5.1,6.6,10.1,21.0,24.9,29.8,16.9,21.1,28.7,29.7,28.7,33.6,16.2,5.4
"37","    Utilities",171.5,163.7,180.0,180.1,181.3,177.6,183.9,199.1,197.9,226.7,231.9,241.7,257.8,279.1,288.3,280.7,286.9,298.3,299.2,302.0
"38","        Compensation of employees",42.1,43.1,47.2,50.2,53.9,54.7,52.9,55.6,56.1,60.9,63.1,66.3,66.8,67.7,71.2,69.8,72.8,75.2,77.6,81.4
"39","        Taxes on production and imports less subsidies",31.8,32.3,33.6,35.1,27.9,36.4,38.7,41.0,43.8,47.9,51.4,53.2,54.9,56.5,57.7,58.6,58.9,59.0,58.7,60.0
"40","        Gross operating surplus",97.6,88.2,99.2,94.7,99.5,86.5,92.3,102.4,98.0,117.8,117.4,122.2,136.1,154.9,159.4,152.3,155.2,164.2,162.9,160.6
"41","    Construction",339.6,379.8,417.7,461.2,486.4,493.5,525.2,584.6,651.6,697.1,715.7,649.3,565.4,525.7,525.6,554.9,588.7,637.7,695.3,747.7
"42","        Compensation of employees",228.6,253.0,278.2,307.7,325.4,327.1,335.8,358.0,387.5,421.3,440.0,433.9,368.4,343.8,347.3,365.9,388.0,422.4,458.5,485.9
"43","        Taxes on production and imports less subsidies",4.2,4.8,5.2,5.6,5.7,6.1,6.3,7.2,8.0,8.2,8.3,7.8,7.3,7.2,7.2,7.5,7.9,8.4,8.9,9.5
"44","        Gross operating surplus",106.7,122.0,134.3,148.0,155.3,160.4,183.1,219.5,256.1,267.5,267.5,207.5,189.8,174.8,171.1,181.6,192.8,206.9,227.9,252.3
"45","    Manufacturing",1382.9,1430.6,1489.6,1549.8,1473.5,1468.3,1524.0,1607.8,1692.5,1793.5,1845.8,1802.1,1700.8,1799.8,1873.6,1934.7,1997.3,2053.5,2131.0,2102.9
"46","        Compensation of employees",789.0,834.4,870.2,918.0,881.9,846.5,847.0,873.7,895.5,924.0,943.6,931.9,835.2,847.2,882.4,917.0,931.8,973.0,1006.4,1013.1
"47","        Taxes on production and imports less subsidies",41.1,42.4,43.8,46.9,49.1,51.5,53.5,56.1,59.3,61.3,63.9,65.0,74.8,75.7,78.3,78.6,83.8,83.8,85.0,84.5
"48","        Gross operating surplus",552.8,553.7,575.6,584.9,542.6,570.3,623.5,678.1,737.7,808.3,838.2,805.2,790.9,876.9,912.9,939.1,981.7,996.7,1039.6,1005.2
"49","        Durable goods",823.8,850.7,875.2,924.6,833.3,832.8,863.1,905.0,956.3,1004.2,1031.0,1000.2,880.4,965.5,1017.9,1065.2,1104.5,1135.6,1184.4,1187.8
"50","            Compensation of employees",514.6,549.5,576.7,615.9,582.8,552.6,549.3,572.9,590.0,614.8,627.4,615.5,539.2,546.2,578.7,604.4,612.0,638.6,662.7,666.0
"51","            Taxes on production and imports less subsidies",15.4,16.4,17.4,18.5,19.4,20.3,20.8,21.8,22.9,23.6,25.0,25.5,25.8,25.0,25.0,25.1,28.5,29.1,30.0,28.9
"52","            Gross operating surplus",293.8,284.8,281.1,290.3,231.1,259.9,292.9,310.3,343.4,365.8,378.6,359.2,315.4,394.3,414.2,435.7,464.0,467.9,491.7,492.9
"53","            Wood products",26.8,27.5,29.4,28.3,27.2,27.3,28.7,32.6,34.7,31.7,29.1,25.6,21.2,23.3,23.7,25.8,30.5,31.0,32.5,35.3
"54","                Compensation of employees",19.2,20.5,21.7,22.2,21.6,21.5,21.8,23.2,24.8,24.8,23.6,21.2,16.3,15.9,16.3,16.7,17.7,19.4,20.4,21.1
"55","                Taxes on production and imports less subsidies",0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"56","                Gross operating surplus",7.1,6.5,7.1,5.5,5.1,5.2,6.4,8.7,9.2,6.2,4.8,3.7,4.2,6.8,6.8,8.5,12.1,10.9,11.4,13.5
"57","            Nonmetallic mineral products",39.8,40.8,43.2,42.6,41.3,41.8,42.0,45.3,48.8,50.5,50.3,44.8,38.8,38.4,38.9,42.7,47.2,49.6,54.7,57.5
"58","                Compensation of employees",22.1,23.4,24.6,26.0,26.2,25.9,25.9,26.7,28.2,29.3,29.7,27.8,22.7,22.3,22.7,23.4,24.1,25.6,27.1,28.0
"59","                Taxes on production and imports less subsidies",0.9,0.9,1.0,1.0,0.9,1.0,1.0,1.1,1.2,1.2,1.3,1.3,1.4,1.3,1.3,1.3,1.3,1.4,1.4,1.5
"60","                Gross operating surplus",16.8,16.6,17.7,15.6,14.2,14.9,15.1,17.5,19.5,20.0,19.3,15.7,14.8,14.7,14.9,18.0,21.9,22.6,26.2,28.0
"61","            Primary metals",48.1,49.0,46.2,47.0,40.3,41.7,39.3,55.0,56.2,62.7,64.6,68.9,41.1,50.9,62.6,65.8,62.5,64.2,60.1,56.9
"62","                Compensation of employees",32.4,33.3,33.7,34.4,31.7,29.3,28.6,30.1,30.7,32.0,32.5,33.0,25.6,26.7,29.7,31.2,30.9,31.8,31.6,30.4
"63","                Taxes on production and imports less subsidies",2.0,2.1,2.1,2.1,1.8,1.9,1.9,1.9,2.0,2.0,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5
"64","                Gross operating surplus",13.6,13.6,10.4,10.5,6.8,10.5,8.8,23.0,23.5,28.6,29.9,33.6,13.1,21.9,30.6,32.2,29.2,30.0,26.0,24.0
"65","            Fabricated metal products",110.0,111.7,116.1,121.3,110.9,106.1,108.5,114.7,122.3,126.8,134.8,133.2,117.3,120.0,127.4,138.0,141.9,144.1,147.4,146.0
"66","                Compensation of employees",70.8,74.3,76.2,80.2,77.1,74.1,73.5,77.2,81.1,85.4,88.9,90.5,77.5,78.0,83.9,90.3,91.2,95.3,97.1,95.6
"67","                Taxes on production and imports less subsidies",1.9,1.9,2.1,2.2,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.9,2.6,2.6,2.9,2.9,3.5,3.4,3.3,3.3
"68","                Gross operating surplus",37.4,35.5,37.8,38.9,31.8,29.9,32.8,35.2,38.9,38.9,43.3,39.8,37.2,39.4,40.6,44.9,47.2,45.4,47.0,47.2
"69","            Machinery",102.2,113.8,111.1,113.1,105.3,98.9,97.4,104.1,114.4,121.9,129.6,131.7,118.5,127.3,144.9,153.0,158.5,161.1,152.5,143.8
"70","                Compensation of employees",72.4,74.9,76.1,80.2,74.9,69.6,68.7,71.8,75.5,79.3,82.8,84.2,73.9,75.2,83.2,88.4,88.7,92.6,94.7,90.8
"71","                Taxes on production and imports less subsidies",2.0,2.2,2.3,2.5,2.5,2.5,2.5,2.7,2.8,2.9,3.1,3.1,3.3,3.3,3.4,3.4,3.4,3.4,3.5,3.6
"72","                Gross operating surplus",27.9,36.7,32.7,30.4,28.0,26.8,26.2,29.6,36.1,39.7,43.7,44.3,41.3,48.9,58.3,61.2,66.4,65.1,54.4,49.4
"73","            Computer and electronic products",195.3,191.7,186.7,225.3,173.5,172.9,193.5,201.5,211.1,224.0,228.4,232.2,223.5,240.2,237.8,241.3,244.6,251.5,267.5,268.1
"74","                Compensation of employees",109.7,118.4,128.6,149.6,136.2,120.0,115.8,119.6,123.2,129.6,131.8,128.2,118.6,123.5,128.7,130.7,128.1,132.3,137.5,142.7
